adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,30000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,862,tt0114709,en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-30,373554033,81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Toy Story,False,7.7,5415
False,,65000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",,8844,tt0113497,en,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room.",,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,262797249,104.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Jumanji,False,6.9,2413
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,15602,tt0113228,en,Grumpier Old Men,A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max.,,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Grumpier Old Men,False,6.5,92
False,,16000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,31357,tt0114885,en,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive 'good man' to break a string of less-than-stellar lovers.",,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,81452156,127.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Waiting to Exhale,False,6.1,34
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,11862,tt0113041,en,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too.",,/e64sOI48hQXyru7naBFyssKFxVd.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-02-10,76578911,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Father of the Bride Part II,False,5.7,173
False,,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,949,tt0113277,en,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest.",,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,187436818,170.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Heat,False,7.7,1886
False,,58000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,11860,tt0114319,en,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,0,127.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Sabrina,False,6.2,141
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,45325,tt0112302,en,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family.",,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Tom and Huck,False,5.4,45
False,,35000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",,9091,tt0114576,en,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set in the world of professional hockey.",,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,64350171,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Sudden Death,False,5.5,174
False,,58000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,710,tt0113189,en,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent leaders of the ex-Soviet Union from creating a global economic crisis.,,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-16,352194034,130.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,GoldenEye,False,6.6,1194
